Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-03-08,9395.009765625,10147.400390625,9335.8701171875,9951.4404296875,7186089984,39,Fear,1520467200,,90.12000274658205,1.51,,,-570.560546875,0.0,570.560546875,223.80705915178572,278.90638950892856,0.802445076808185,44.51980740679072,10103.198095703125,938.5758677319637,11980.349831167052,8226.046360239197,-5.72531755818666
2018-03-09,9337.5498046875,9466.349609375,8513.0302734375,9414.6904296875,8704190464,37,Fear,1520553600,,90.08999633789062,1.51,,,-57.4599609375,0.0,57.4599609375,218.98563058035714,283.0106724330357,0.7737716344678564,43.62295683570299,10156.79609375,855.0015955751084,11866.799284900217,8446.792902599782,-0.6116008644050375
2018-03-12,9205.1201171875,9937.5,8956.4296875,9602.9296875,6457399808,41,Fear,1520812800,,89.9000015258789,1.51,,,-132.4296875,0.0,132.4296875,135.42850167410714,292.46993582589283,0.4630510185317907,31.649683617764353,10180.203076171874,819.7682554148982,11819.73958700167,8540.666565342079,-1.4182487940628707
2018-03-13,9194.849609375,9470.3798828125,8958.1904296875,9173.0400390625,5991139840,41,Fear,1520899200,,89.66000366210938,1.51,,,-10.2705078125,0.0,10.2705078125,135.42850167410714,242.25355747767858,0.5590361730253873,35.85780642539869,10193.617041015625,800.1351043303869,11793.887249676398,8593.346832354851,-0.1115738597840088
2018-03-14,8269.8095703125,9355.849609375,8068.58984375,9214.650390625,6438230016,40,Fear,1520985600,,89.69999694824219,1.51,,,-925.0400390625,0.0,925.0400390625,135.42850167410714,259.3706752232143,0.5221426884807137,34.303136784231214,10177.192041015625,837.1235576351268,11851.439156285878,8502.944925745373,-10.060415105858134
2018-03-15,8300.8603515625,8428.349609375,7783.0498046875,8290.759765625,6834429952,32,Fear,1521072000,,90.13999938964844,1.51,,,31.05078125,31.05078125,-0.0,116.49644252232143,259.3706752232143,0.4491503999905334,30.99405003051909,10117.503564453125,926.1753951360856,11969.854354725296,8265.152774180955,0.37547153880626016
2018-03-16,8338.349609375,8585.150390625,8005.31005859375,8322.91015625,5289379840,33,Fear,1521158400,,90.2300033569336,1.51,,,37.4892578125,37.4892578125,-0.0,114.48849051339286,259.3706752232143,0.44140876918666355,30.623427484469588,10026.101025390624,1007.710427336022,12041.521880062668,8010.6801707185805,0.45163099033997955
2018-03-19,8630.650390625,8675.8701171875,8182.39990234375,8344.1201171875,6729110016,29,Fear,1521417600,,89.9000015258789,1.51,,,292.30078125,292.30078125,-0.0,109.7314453125,259.3706752232143,0.4230680481440902,29.72929149072239,9945.938525390626,1053.0583822377907,12052.055289866206,7839.821760915044,3.5054992287845588
2018-03-20,8913.4697265625,9051.01953125,8389.8896484375,8619.669921875,6361789952,37,Fear,1521504000,,90.37000274658205,1.51,,,282.8193359375,282.8193359375,-0.0,129.93282645089286,235.96358816964286,0.5506477819682899,35.5108225331051,9821.427001953125,1018.2691071387507,11857.965216230627,7784.8887876756235,3.276917997335538
2018-03-21,8929.2802734375,9177.3701171875,8846.330078125,8937.48046875,6043129856,36,Fear,1521590400,,89.77999877929688,1.51,,,15.810546875,15.810546875,-0.0,91.55503627232143,235.96358816964286,0.38800493322935553,27.95414655527317,9733.37099609375,1015.3117578809022,11763.994511855555,7702.747480331946,0.1773781407242936
